v,k,NDCG@5(AVG),NDCG@5(STD),NDCG@3(AVG),NDCG@3(STD)
1,2,0.4182436759291958,0.17728854330545507,0.44588843974549314,0.255768454016613
1,3,0.4037590238182884,19327381401890453,0.40547865977508507,0.22252220218791924
1,4,0.3608350386743981,0.16034132504446022,0.3670673104603052,0.2167391880722166
1,5,0.37047079612804756,0.19833652531465715,0.3465823507362745,0.2891904564763372
1,6,0.3364164144294398,0.1727187499963927,0.335195664678031,0.2094211738108774
1,7,0.3314014417067777,0.18193859207157384,0.3236455195687623,0.23551540407677565
1,8,0.35148727242823313,0.1576011498526657,0.3343722181360001,0.1923896098883152
1,9,0.36633218781323174,0.1632658029327068,0.37160789826953783,0.20354603934784735
1,10,0.40239645660149265,0.19091071277826802,0.3898427377797262,0.25455074760089247
1,11,0.4035385445495884,0.19609271223599814,0.41179540362476097,0.24495469029705003
1,12,0.4060375063876042,0.19687773520645796,0.39201420411150795,0.22275314253730727
1,13,0.45359103628259734,0.2138907636782615,0.4782757672180037,0.2328388997033283
1,14,0.3647520643399476,0.18268188114725775,0.38780805582651984,0.23266397408730344
1,15,0.449216820662986,0.17820485860634722,0.46266651989509483,0.26082438612453573
1,16,0.4172601753378204,0.20682455508129383,0.4305705442947017,0.26791403904169453
1,17,0.47929699566334816,0.2140942492543285,0.5141388080922747,0.27300140745729395
1,18,0.40765945607752374,0.18356053324665716,0.43633057400494835,0.2339199493331556
1,19,0.38733618149707927,0.1743706953629449,0.40260206309723623,0.2515942940592403
1,20,0.4312647700758212,0.19527218694123502,0.47807948220762386,0.2638770709300958
2,2,0.44366159555278356,0.17295049418842623,0.4695153584146845,0.24103289978599834
2,3,0.44415755637803145,0.19320433517699748,0.46347218332215917,0.265267665520854
2,4,0.4577436590207365,0.1781172796188612,0.5173744637638837,0.24085149840947528
2,5,0.48184380610310057,0.19823816575651376,0.5246760580036819,0.25238878651484564
2,6,0.46917643922465374,0.17584740252413197,0.5017556398158469,0.2252216346126835
2,7,0.47401416416462977,0.18465027656304436,0.5399187249106364,0.24712415523956852
2,8,0.4919057541940536,0.22166844042840014,0.5132202946885062,0.26876765443232814
2,9,0.4662908813742622,0.209211880352842,0.5196827144742409,0.24564687589648135
2,10,0.45802929627935435,0.2337473057067153,0.49246039607203534,0.29804978811034066
2,11,0.44475848381640926,0.18507945599408182,0.4715404637427629,0.23480773976289646
2,12,0.4974517635284786,0.21569745068108115,0.5000034181772745,0.2513897298289639
2,13,0.47681914896140365,0.22255553907458805,0.5061060939016042,0.24956905522748163
2,14,0.4456364851620818,0.21520875141733709,0.4928290316909236,0.2712924400109573
2,15,0.45955964751126066,0.17984887143127798,0.507599104559769,0.24084851330003348
2,16,0.4703138990866729,0.22267536650902556,0.47399370532153395,0.2813258290617124
2,17,,,,
2,18,,,,
2,19,0.47795679411535263,0.21268731806025612,0.5040385859890435,0.2649253793677329
2,20,0.4403673024775278,0.20965264029282796,0.4829524543381669,0.28753586534516906
